num_departement,commune,siret,denomination,nom,enseigne,adresse,date_creation,tranche_eff
44,MAUVES SUR LOIRE,33034720400126,LYS GESTION,LYS GESTION,,8 Avenue de l'Alberge 44470 Mauves-sur-Loire,1984,
44,BATZ SUR MER,34073382300017,HOTEL LES EMBRUNS,HOTEL LES EMBRUNS,,Rue du Croisic 44740 Batz-sur-Mer,1987,NN
44,BAULE ESCOUBLAC (LA),32932446100014,STE HOSTELLIERE DU BOIS,STE HOSTELLIERE DU BOIS,,65 Avenue Louis Lajarrige 44500 La Baule-Escoublac,1984,NN
44,NANTES,44460371600036,BELLE ILE,BELLE ILE,,11 Rue Fourcroy 44000 Nantes,2002,
44,SAINT NAZAIRE,44902692100014,COUDRAY*GRAVE/MICHELINE IDA/,MADAME MICHELINE GRAVE,,48 Rue des Halles 44600 Saint-Nazaire,2003,NN
44,SAINT MICHEL CHEF CHEF,44927717700019,LE DIMET*MARTINE/,MADAME MARTINE LE DIMET,,2 Avenue de Bretagne 44730 Saint-Michel-Chef-Chef,2003,NN
44,SAINT ANDRE DES EAUX,41070565100017,MONTRE*CHRISTOPHE/,MONSIEUR CHRISTOPHE MONTRE,,Le Golf de Saint Denac 44117 Saint-André-des-Eaux,1996,NN
44,CELLIER (LE),41882274800053,COTTIN*LAURENT/,MONSIEUR LAURENT COTTIN,,104 Route de Saint-mars 44850 Le Cellier,1998,
44,SAINT ANDRE DES EAUX,41437666500017,LE DAUPHIN,LE DAUPHIN,,Le Petit Brangouré - St-denac 44117 Saint-André-des-Eaux,1997,NN
44,BATZ SUR MER,45230233400019,LA BRISE DE MER,LA BRISE DE MER,,12 Rue de l'Atlantique 44740 Batz-sur-Mer,2004,NN
44,BLAIN,48373285500018,LE GRAND CERF,LE GRAND CERF,,22 Rue de Nantes 44130 Blain,2005,NN
44,SAINT ANDRE DES EAUX,39835046200014,YSAFIL,YSAFIL,,Le Golf de Saint Denac 44117 Saint-André-des-Eaux,1994,NN
44,SAINT ANDRE DES EAUX,39860975000011,JBL2,JBL2,,Le Golf de Saint Denac 44117 Saint-André-des-Eaux,1994,NN
44,NANTES,39892635200012,LES TROIS VALLEES,LES TROIS VALLEES,,17 Avenue Camus 44000 Nantes,1994,NN
44,SAINT ANDRE DES EAUX,39945133500018,EURL IROISE,EURL IROISE,,Route de Saint-denac 44117 Saint-André-des-Eaux,1994,NN
44,NANTES,40199597200031,SARL LEMOTEL,SARL LEMOTEL,,345 Route de Sainte Luce 44300 Nantes,1995,NN
44,PORNICHET,39425084900012,COMPAGNIE FINANCIERE HOTELIERE ET TOURISTIQUE,COMPAGNIE FINANCIERE HOTELIERE ET TOURISTIQUE,,Avenue Louis Barthou 44380 Pornichet,1993,NN
44,PALLET (LE),39485697500013,ADRIA,ADRIA,,La Cognardiere 44330 Le Pallet,1993,NN
44,NANTES,39523413100039,CENTAUR,CENTAUR,,16 Avenue Camus 44000 Nantes,1994,
44,FROSSAY,38385178900032,SAINTE THERESE,SAINTE THERESE,,2 Rue de Bel Air 44320 Frossay,1991,
44,PONTCHATEAU,38528744600012,AUBERGE DU CALVAIRE,AUBERGE DU CALVAIRE,,6 Route de la Brière-le Calvaire 44160 Pontchâteau,1992,NN
44,MEILLERAYE DE BRETAGNE (LA),35316545900010,ASSOCIATION MELLERAY ACCUEIL PARTAGE,ASSOCIATION MELLERAY ACCUEIL PARTAGE,,Abbaye de Meilleray 44520 La Meilleraye-de-Bretagne,1989,NN
44,VALLONS DE L'ERDRE,42878450800015,CAPRI,CAPRI,,5 Rue du Château 44540 Vallons-de-l'Erdre,1999,NN
44,SAINT ANDRE DES EAUX,42363404700017,LLL,LLL,,Le Petit Brangouré - St-denac 44117 Saint-André-des-Eaux,1999,NN
44,SAINT ANDRE DES EAUX,42416016600015,CA VI AL,CA VI AL,,Le Petit Brangouré - St-denac 44117 Saint-André-des-Eaux,1999,NN
44,SAINT BREVIN LES PINS,43038887600012,OCEAN AVENUE,OCEAN AVENUE,,224 Avenue Raymond Poincaré 44250 Saint-Brevin-les-Pins,2000,NN
44,SAINT LYPHARD,31315691100015,PEBAY-ARNAUNE*YVES/,MONSIEUR YVES PEBAY ARNAUNE,,Kerhinet 44410 Saint-Lyphard,1978,NN
